date,time,brightness,temperature,humidity
2021-11-15,22:18:33,536.0,20.022,16.99
2021-11-15,22:18:33,575.0,20.037,16.98
2021-11-15,22:18:33,617.0,20.065,16.97
2021-11-15,22:18:33,662.0,20.071,16.96
2021-11-15,22:18:33,710.0,20.108,16.95
2021-11-15,22:18:33,762.0,20.125,16.94
2021-11-15,22:18:34,818.0,20.143,16.93
2021-11-15,22:18:34,878.0,20.178,16.92
2021-11-15,22:18:34,942.0,20.21,16.91
2021-11-15,22:18:34,1011.0,20.241,16.9
2021-11-15,22:18:34,1011.0,20.278,16.89
2021-11-15,22:18:34,1011.0,20.312,16.88
2021-11-15,22:18:34,1011.0,20.314,16.87
2021-11-15,22:18:34,1011.0,20.319,16.86
2021-11-15,22:18:34,1011.0,20.331,16.85
2021-11-15,22:18:34,1011.0,20.351,16.84
2021-11-15,22:18:35,1011.0,20.359,16.83
2021-11-15,22:18:35,1011.0,20.361,16.82
2021-11-15,22:18:35,1011.0,20.385,16.81
2021-11-15,22:18:35,1011.0,20.398,16.8
2021-11-15,22:18:35,1011.0,20.429,16.79
2021-11-15,22:18:35,1011.0,20.451,16.78
2021-11-15,22:18:35,1011.0,20.482,16.77
2021-11-15,22:18:35,1011.0,20.511,16.76
2021-11-15,22:18:35,1011.0,20.535,16.75
2021-11-15,22:18:36,1011.0,20.562,16.74
2021-11-15,22:18:36,1011.0,20.57,16.73
2021-11-15,22:18:36,1011.0,20.594,16.72
2021-11-15,22:18:36,1011.0,20.616,16.71
2021-11-15,22:18:36,1011.0,20.646,16.7
2021-11-15,22:18:36,1011.0,20.647,16.69
2021-11-15,22:18:36,1011.0,20.655,16.68
2021-11-15,22:18:36,1011.0,20.668,16.67
2021-11-15,22:18:36,1011.0,20.704,16.66
2021-11-15,22:18:36,1011.0,20.741,16.65
2021-11-15,22:18:37,1011.0,20.774,16.64
2021-11-15,22:18:37,1011.0,20.775,16.63
2021-11-15,22:18:37,1011.0,20.807,16.62
2021-11-15,22:18:37,1011.0,20.808,16.61
2021-11-15,22:18:37,1011.0,20.809,16.6
2021-11-15,22:18:37,1011.0,20.824,18.26
2021-11-15,22:18:37,1011.0,20.843,20.086
2021-11-15,22:18:37,1011.0,20.864,22.095
2021-11-15,22:18:37,1011.0,20.896,24.305
2021-11-15,22:18:38,1011.0,20.923,26.736
2021-11-15,22:18:38,1011.0,20.942,29.41
2021-11-15,22:18:38,1011.0,20.962,32.351
2021-11-15,22:18:38,1011.0,20.975,35.586
2021-11-15,22:18:38,1011.0,21.016,39.145
2021-11-15,22:18:38,1011.0,21.043,43.06
2021-11-15,22:18:38,1011.0,21.081,47.366
2021-11-15,22:18:38,1011.0,21.102,52.103
2021-11-15,22:18:38,1011.0,21.12,57.313
2021-11-15,22:18:39,1011.0,21.137,63.044
2021-11-15,22:18:39,1011.0,21.165,69.348
2021-11-15,22:18:39,1001.0,21.165,69.348
2021-11-15,22:18:39,991.0,21.165,69.348
2021-11-15,22:18:39,981.0,21.165,69.348
2021-11-15,22:18:39,971.0,21.165,69.348
2021-11-15,22:18:39,961.0,21.165,69.348
2021-11-15,22:18:39,951.0,21.165,69.348
2021-11-15,22:18:39,941.0,21.165,69.348
2021-11-15,22:18:39,932.0,21.165,69.348
2021-11-15,22:18:40,923.0,21.165,69.348
2021-11-15,22:18:40,914.0,21.165,69.348
2021-11-15,22:18:40,1001.0,21.165,69.348
2021-11-15,22:18:40,991.0,21.165,69.348
2021-11-15,22:18:40,981.0,21.165,69.348
2021-11-15,22:18:40,971.0,21.165,69.348
2021-11-15,22:18:40,961.0,21.165,69.348
2021-11-15,22:18:40,951.0,21.165,69.348
2021-11-15,22:18:40,941.0,21.165,69.348
2021-11-15,22:18:41,932.0,21.165,69.348
2021-11-15,22:18:41,923.0,21.165,69.348
2021-11-15,22:18:41,914.0,21.165,69.348
2021-11-15,22:18:41,1001.0,21.165,69.348
2021-11-15,22:18:41,991.0,21.165,69.348
2021-11-15,22:18:41,981.0,21.165,69.348
2021-11-15,22:18:41,971.0,21.165,69.348
2021-11-15,22:18:41,961.0,21.165,69.348
2021-11-15,22:18:41,951.0,21.165,69.348
2021-11-15,22:18:41,941.0,21.165,69.348
2021-11-15,22:18:42,932.0,21.165,69.348
2021-11-15,22:18:42,923.0,21.165,69.348
2021-11-15,22:18:42,914.0,21.165,69.348
