date,time,brightness,temperature,humidity
2021-11-15,22:38:14,518.0,10.01,16.99
2021-11-15,22:38:14,537.0,10.011,16.98
2021-11-15,22:38:15,557.0,10.017,16.97
2021-11-15,22:38:15,578.0,10.02,16.96
2021-11-15,22:38:15,599.0,10.026,16.95
2021-11-15,22:38:15,621.0,10.03,16.94
2021-11-15,22:38:15,644.0,10.046,16.93
2021-11-15,22:38:15,668.0,10.055,16.92
2021-11-15,22:38:15,693.0,10.059,16.91
2021-11-15,22:38:15,719.0,10.068,16.9
2021-11-15,22:38:15,746.0,10.072,16.89
2021-11-15,22:38:16,774.0,10.078,16.88
2021-11-15,22:38:16,803.0,10.095,16.87
2021-11-15,22:38:16,833.0,10.102,16.86
2021-11-15,22:38:16,864.0,10.116,16.85
2021-11-15,22:38:16,896.0,10.126,16.84
2021-11-15,22:38:16,929.0,10.145,16.83
2021-11-15,22:38:16,963.0,10.155,16.82
2021-11-15,22:38:16,999.0,10.16,16.81
2021-11-15,22:38:16,1036.0,10.178,16.8
2021-11-15,22:38:16,1036.0,10.186,16.79
2021-11-15,22:38:17,1036.0,10.191,16.78
2021-11-15,22:38:17,1036.0,10.196,16.77
2021-11-15,22:38:17,1036.0,10.216,16.76
2021-11-15,22:38:17,1036.0,10.227,16.75
2021-11-15,22:38:17,1036.0,10.232,16.74
2021-11-15,22:38:17,1036.0,10.233,16.73
2021-11-15,22:38:17,1036.0,10.248,16.72
2021-11-15,22:38:17,1036.0,10.253,16.71
2021-11-15,22:38:17,1036.0,10.263,16.7
2021-11-15,22:38:18,1036.0,10.269,16.69
2021-11-15,22:38:18,1036.0,10.27,16.68
2021-11-15,22:38:18,1036.0,10.285,16.67
2021-11-15,22:38:18,1036.0,10.293,16.66
2021-11-15,22:38:18,1036.0,10.31,16.65
2021-11-15,22:38:18,1036.0,10.326,16.64
2021-11-15,22:38:18,1036.0,10.346,16.63
2021-11-15,22:38:18,1036.0,10.362,16.62
2021-11-15,22:38:18,1036.0,10.376,16.61
2021-11-15,22:38:18,1036.0,10.394,16.6
2021-11-15,22:38:19,1036.0,10.4,18.26
2021-11-15,22:38:19,1036.0,10.406,20.086
2021-11-15,22:38:19,1036.0,10.406,22.095
2021-11-15,22:38:19,1036.0,10.425,24.305
2021-11-15,22:38:19,1036.0,10.441,26.736
2021-11-15,22:38:19,1036.0,10.444,29.41
2021-11-15,22:38:19,1036.0,10.448,32.351
2021-11-15,22:38:19,1036.0,10.465,35.586
2021-11-15,22:38:19,1036.0,10.472,39.145
2021-11-15,22:38:20,1036.0,10.484,43.06
2021-11-15,22:38:20,1036.0,10.489,47.366
2021-11-15,22:38:20,1036.0,10.502,52.103
2021-11-15,22:38:20,1036.0,10.513,57.313
2021-11-15,22:38:20,1036.0,10.527,63.044
2021-11-15,22:38:20,1036.0,10.528,69.348
2021-11-15,22:38:20,1026.0,10.84384,69.348
2021-11-15,22:38:20,1016.0,11.1691552,69.348
2021-11-15,22:38:20,1006.0,11.504229856,69.348
2021-11-15,22:38:20,996.0,11.84935675168,69.348
2021-11-15,22:38:21,986.0,12.2048374542304,69.348
2021-11-15,22:38:21,976.0,12.570982577857313,69.348
2021-11-15,22:38:21,966.0,12.948112055193032,69.348
2021-11-15,22:38:21,956.0,13.336555416848825,69.348
2021-11-15,22:38:21,946.0,13.73665207935429,69.348
2021-11-15,22:38:21,937.0,14.148751641734918,69.348
2021-11-15,22:38:21,1026.0,14.573214190986967,69.348
2021-11-15,22:38:21,1016.0,15.010410616716577,69.348
2021-11-15,22:38:21,1006.0,15.460722935218074,69.348
2021-11-15,22:38:22,996.0,15.924544623274617,69.348
2021-11-15,22:38:22,986.0,16.402280961972856,69.348
2021-11-15,22:38:22,976.0,16.894349390832044,69.348
2021-11-15,22:38:22,966.0,17.401179872557005,69.348
2021-11-15,22:38:22,956.0,17.923215268733717,69.348
2021-11-15,22:38:22,946.0,18.46091172679573,69.348
2021-11-15,22:38:22,937.0,19.0147390785996,69.348
2021-11-15,22:38:22,1026.0,14.573214190986967,69.348
2021-11-15,22:38:22,1016.0,15.010410616716577,69.348
2021-11-15,22:38:22,1006.0,15.460722935218074,69.348
2021-11-15,22:38:23,996.0,15.924544623274617,69.348
2021-11-15,22:38:23,986.0,16.402280961972856,69.348
2021-11-15,22:38:23,976.0,16.894349390832044,69.348
2021-11-15,22:38:23,966.0,17.401179872557005,69.348
2021-11-15,22:38:23,956.0,17.923215268733717,69.348
2021-11-15,22:38:23,946.0,18.46091172679573,69.348
2021-11-15,22:38:23,937.0,19.0147390785996,69.348
2021-11-15,22:38:23,928.0,14.573214190986967,69.348
2021-11-15,22:38:23,919.0,15.010410616716577,69.348
2021-11-15,22:38:24,910.0,15.460722935218074,69.348
